Wall time,Step,Value
1741871537.3405387,626000,-17196.521484375
1741871557.1414213,626500,-12143.6005859375
1741871598.0077465,627500,-10109.8564453125
1741871659.012667,629000,-10191.408203125
1741871719.5312057,630500,-5659.98046875
1741871740.354047,631000,-16113.0322265625
1741871861.5712795,634000,-8956.4658203125
1741871943.1700606,636000,-12214.3037109375
1741872043.3237484,638500,-23543.43359375
1741872083.224854,639500,-3882.01025390625
1741872164.6172092,641500,-10631.9677734375
1741872224.317372,643000,-13140.0771484375
1741872326.5470593,645500,-11223.96484375
1741872387.2264235,647000,-4101.65087890625
1741872488.7795527,649500,-9923.2255859375
1741872508.4738402,650000,-9129.404296875
1741872569.579832,651500,-8406.22265625
1741872650.6425087,653500,-28134.591796875
1741872832.2137208,658000,-15770.4462890625
1741872973.4966986,661500,-17246.544921875
1741873034.7970748,663000,-10697.197265625
1741873054.4571786,663500,-32788.6796875
1741873238.7519689,668000,-14892.8203125
1741873443.1769028,673000,-15754.890625
1741873503.1976511,674500,-10605.8515625
1741873624.9012885,677500,-12396.1826171875
1741873747.5439267,680500,-5158.47802734375
1741873828.7405791,682500,-14145.3115234375
1741873910.310682,684500,-2204.834716796875
1741874052.7849867,688000,-17355.431640625
1741874073.2954953,688500,-24504.837890625
1741874155.5195389,690500,-11834.931640625
1741874277.6987514,693500,-17562.078125
1741874358.420018,695500,-13397.7607421875
1741874418.6223774,697000,-22875.587890625
1741874498.8384979,699000,-29097.677734375
1741874905.9338663,709000,-5669.197265625
1741874988.0228534,711000,-9426.4404296875
1741875194.2867458,716000,-16958.578125
1741875295.828382,718500,-13051.6884765625
1741875337.53473,719500,-3418.530517578125
1741875359.033704,720000,-3501.010009765625
1741875379.288094,720500,-13977.8447265625
1741875400.3860965,721000,-4754.96435546875
1741875564.917193,725000,-25363.21484375
1741875728.847336,729000,-3668.900146484375
1741875749.7895555,729500,-9331.927734375
1741875790.5420778,730500,-13901.6318359375
1741875810.4940298,731000,-14304.125
1741876058.2097278,737000,-19617.435546875
1741876079.269005,737500,-10536.236328125
1741876120.8965242,738500,-5469.29638671875
1741876347.2074318,744000,-14831.330078125
1741876408.8882787,745500,-7736.744140625
1741876489.9568086,747500,-10455.234375
1741876572.354571,749500,-11827.0390625
1741876655.550164,751500,-8877.994140625
1741876799.5097914,755000,-17058.59375
1741876819.3430002,755500,-11549.0908203125
1741876840.3632572,756000,-3391.39501953125
1741876881.579447,757000,-9012.255859375
1741876942.579962,758500,-9048.5078125
1741877188.9929655,764500,-7831.19140625
1741877313.420213,767500,-15856.99609375
1741877374.8883047,769000,-11033.201171875
1741877396.3342772,769500,-10784.619140625
1741877602.8385515,774500,-5703.61181640625
1741877664.6855557,776000,-21232.876953125
1741877686.1018426,776500,-12114.4453125
1741877891.9949849,781500,-14696.9287109375
1741877953.7115877,783000,-7573.4365234375
1741877974.819909,783500,-28665.6484375
1741878016.142663,784500,-12399.8994140625
1741878098.808321,786500,-17474.96875
1741878119.120736,787000,-15153.64453125
1741878181.8807364,788500,-11009.5283203125
1741878262.3958192,790500,-9969.76953125
1741878365.549093,793000,-15033.2080078125
1741878591.6891263,798500,-1044.1522216796875
1741878695.4741824,801000,-11567.5498046875
1741878736.1804392,802000,-17246.515625
1741878899.9904644,806000,-10055.7255859375
1741879225.519946,814000,-17424.638671875
1741879391.1005604,818000,-11311.5146484375
1741879432.2178285,819000,-17157.05859375
1741879495.4369562,820500,-5176.1533203125
1741879618.8477097,823500,-6354.04736328125
1741879638.9631124,824000,-3754.417236328125
1741879784.9097314,827500,-21403.673828125
1741879951.1781538,831500,-16233.490234375
1741880032.1345372,833500,-11622.474609375
1741880114.7673223,835500,-8678.0478515625
1741880197.5103135,837500,-11275.240234375
1741880259.5961273,839000,-5792.3935546875
1741880300.9429574,840000,-10023.8330078125
1741880425.947205,843000,-9125.8857421875
1741880445.9959228,843500,-10288.15234375
1741880467.1222112,844000,-22586.466796875
1741880487.3919637,844500,-11856.919921875
1741880611.703614,847500,-19433.86328125
1741880632.756644,848000,-4217.94921875
1741880775.73787,851500,-14137.0478515625
1741880816.5703716,852500,-27209.3671875
1741880877.8855999,854000,-17565.29296875
1741880918.615818,855000,-18870.962890625
